01 02 03 04
01 02 05 17
01 02 09 12
01 02 11 13
01 03 05 06
01 03 07 10
01 03 11 13
01 03 12 13
01 03 14 17
01 04 05 07
01 04 05 15
01 04 07 15
01 04 13 17
01 05 07 10
01 05 08 11
01 05 09 13
01 06 07 16
01 06 08 15
01 06 10 14
01 07 11 15
01 08 10 11
01 08 12 13
01 08 12 16
01 09 10 16
01 09 10 17
01 09 11 14
02 03 04 13
02 03 06 11
02 03 09 12
02 04 07 11
02 04 08 12
02 04 09 13
02 04 09 17
02 04 10 16
02 05 07 09
02 05 10 15
02 06 09 16
02 06 13 14
02 07 08 16
02 07 12 13
02 07 14 15
02 08 10 17
02 08 11 14
02 08 15 17
02 12 14 16
02 13 15 16
03 04 05 17
03 04 06 17
03 04 14 16
03 05 08 14
03 05 11 16
03 06 12 15
03 07 09 14
03 07 09 15
03 07 12 16
03 07 12 17
03 07 13 16
03 08 09 11
03 08 10 13
03 10 11 14
03 15 16 17
04 05 06 15
04 05 09 10
04 05 12 14
04 06 09 12
04 06 11 13
04 07 08 14
04 07 10 16
04 08 09 15
04 08 11 16
04 08 14 17
04 10 12 15
04 11 12 15
05 06 07 08
05 06 10 12
05 07 11 12
05 07 13 15
05 08 12 13
05 08 13 16
05 09 11 15
05 12 16 17
05 14 16 17
06 07 10 17
06 08 10 16
06 09 10 15
06 09 11 14
06 09 13 17
06 11 12 17
07 08 09 16
07 08 09 17
07 08 12 14
07 11 13 14
08 10 13 15
09 10 11 12
09 10 13 14
09 12 13 16
10 11 13 17
11 15 16 17
12 14 15 17
13 14 15 16
