01 02 03 04
01 02 05 07
01 02 05 14
01 02 08 20
01 02 10 13
01 02 10 17
01 02 12 15
01 03 05 15
01 03 06 11
01 03 07 17
01 03 09 18
01 03 11 19
01 04 05 11
01 04 08 19
01 04 13 17
01 05 08 17
01 05 09 13
01 05 09 18
01 05 10 17
01 06 07 15
01 06 10 12
01 06 10 14
01 06 12 20
01 06 14 19
01 06 16 18
01 07 09 12
01 07 10 15
01 07 11 15
01 07 13 14
01 08 11 18
01 08 12 16
01 08 13 17
01 08 16 20
01 09 10 18
01 09 11 17
01 09 11 20
01 09 16 19
01 10 12 16
01 10 18 20
01 11 12 13
01 14 15 20
01 17 18 19
02 03 07 15
02 03 09 12
02 03 11 20
02 03 13 14
02 03 17 18
02 03 17 20
02 04 06 08
02 04 07 09
02 04 07 19
02 04 11 17
02 04 16 20
02 05 08 09
02 05 08 16
02 05 10 15
02 05 13 17
02 06 07 10
02 06 08 13
02 06 09 16
02 06 12 19
02 07 12 13
02 08 11 14
02 08 18 19
02 09 10 14
02 09 13 20
02 11 14 15
02 11 15 19
02 11 16 18
02 13 14 18
02 14 16 17
02 14 18 20
02 15 17 18
03 04 05 06
03 04 10 17
03 04 13 18
03 04 13 20
03 04 14 16
03 05 11 16
03 05 12 19
03 06 12 15
03 07 09 14
03 07 11 18
03 07 12 15
03 07 13 15
03 08 10 13
03 08 14 17
03 08 18 20
03 09 11 15
03 09 16 20
03 10 15 19
03 10 16 20
03 12 14 18
03 13 16 19
04 05 07 08
04 05 12 14
04 05 18 20
04 06 09 10
04 06 11 13
04 06 15 17
04 07 10 16
04 07 11 20
04 07 14 18
04 08 09 15
04 08 11 12
04 08 13 14
04 09 11 14
04 09 17 19
04 10 12 18
04 10 12 20
04 10 13 15
04 13 14 20
04 15 16 18
05 06 07 08
05 06 07 11
05 06 11 15
05 06 12 18
05 06 14 20
05 07 09 10
05 07 13 17
05 07 16 20
05 08 12 20
05 09 16 17
05 10 11 18
05 10 13 16
05 10 14 18
05 10 16 19
05 11 12 15
05 11 13 19
05 14 15 19
05 15 19 20
06 07 12 16
06 07 19 20
06 08 09 19
06 08 11 16
06 09 13 17
06 10 17 18
06 11 15 20
06 11 18 19
06 12 14 15
06 16 17 19
07 08 10 20
07 08 15 19
07 08 16 17
07 08 17 18
07 09 11 13
07 09 15 18
07 10 11 19
07 12 14 17
07 13 18 19
08 09 14 18
08 10 12 17
08 10 15 16
08 11 17 20
08 13 15 18
09 10 11 12
09 12 13 16
09 12 18 20
09 15 17 20
10 11 14 17
10 13 14 19
10 13 19 20
11 12 13 17
11 12 16 19
11 14 16 19
12 13 15 19
12 14 19 20
12 15 16 17
13 14 15 16
13 16 18 20
