01 02 03 04
01 02 03 13
01 02 06 14
01 02 07 08
01 02 10 11
01 03 05 07
01 03 05 12
01 03 09 12
01 04 05 08
01 04 08 13
01 04 09 10
01 04 09 14
01 04 12 13
01 05 06 09
01 05 09 13
01 06 07 11
01 06 08 11
01 06 10 14
01 07 10 12
02 03 06 07
02 03 07 12
02 04 05 09
02 04 05 10
02 05 11 14
02 06 08 13
02 06 12 13
02 07 08 13
02 08 09 11
02 09 10 14
02 09 13 14
03 04 06 09
03 05 08 14
03 05 10 11
03 07 09 14
03 08 10 12
03 08 10 13
03 11 13 14
04 05 06 13
04 06 11 12
04 07 08 11
04 07 10 14
04 07 11 13
04 08 12 14
05 06 07 08
05 07 09 12
05 08 12 13
06 08 09 10
06 09 11 13
06 10 12 14
07 10 13 14
08 11 12 14
09 10 11 12
