01 02 03 04
01 02 03 15
01 02 05 08
01 02 10 23
01 02 12 20
01 02 13 17
01 02 14 22
01 02 16 24
01 02 24 26
01 03 05 12
01 03 07 22
01 03 08 26
01 03 11 13
01 03 11 18
01 03 13 14
01 03 14 19
01 03 15 23
01 03 16 25
01 04 05 10
01 04 08 24
01 04 13 21
01 04 14 23
01 04 16 26
01 04 18 22
01 05 06 13
01 05 08 14
01 05 08 25
01 05 09 11
01 05 09 13
01 05 10 21
01 05 14 22
01 05 19 24
01 06 07 25
01 06 09 11
01 06 10 14
01 06 15 18
01 06 19 21
01 06 20 23
01 07 09 18
01 07 10 25
01 07 11 15
01 07 12 19
01 07 14 20
01 07 15 16
01 07 23 26
01 08 12 16
01 08 13 19
01 08 15 22
01 08 18 22
01 09 12 17
01 09 14 23
01 09 17 19
01 09 20 21
01 09 24 25
01 10 12 13
01 10 13 24
01 10 15 18
01 10 19 20
01 10 23 24
01 11 12 21
01 11 14 21
01 11 17 23
01 11 18 24
01 13 16 21
01 13 22 24
01 13 25 26
01 14 16 17
01 15 17 26
01 15 19 21
01 16 17 18
01 16 18 21
01 16 19 22
01 17 21 25
01 18 22 26
02 03 04 12
02 03 07 17
02 03 07 23
02 03 13 26
02 03 14 24
02 04 05 23
02 04 06 14
02 04 07 15
02 04 13 24
02 04 16 17
02 04 21 26
02 05 07 26
02 05 08 16
02 05 10 12
02 05 10 15
02 05 17 25
02 05 20 21
02 06 08 18
02 06 09 16
02 06 09 25
02 06 11 21
02 06 19 22
02 07 12 13
02 07 14 16
02 07 15 21
02 07 16 22
02 08 09 10
02 08 11 14
02 08 15 24
02 08 19 20
02 08 22 25
02 09 11 25
02 09 14 19
02 09 15 22
02 09 18 22
02 10 11 18
02 10 12 25
02 10 13 21
02 10 19 26
02 10 20 24
02 11 15 20
02 11 16 22
02 11 19 21
02 11 20 26
02 12 17 20
02 12 17 21
02 12 21 26
02 13 16 23
02 14 18 21
02 15 19 25
02 17 23 26
02 18 19 24
02 18 24 25
02 20 23 25
03 04 05 24
03 04 09 20
03 04 13 16
03 04 14 17
03 04 15 26
03 04 17 21
03 05 06 14
03 05 08 23
03 05 09 19
03 05 11 16
03 05 16 22
03 05 18 23
03 06 07 20
03 06 10 17
03 06 11 23
03 06 12 15
03 06 17 24
03 06 17 25
03 07 09 10
03 07 09 14
03 07 11 21
03 07 15 24
03 08 10 13
03 08 11 12
03 08 12 19
03 08 16 21
03 08 17 25
03 08 18 25
03 08 19 22
03 09 21 24
03 09 22 23
03 10 11 22
03 10 14 26
03 10 16 19
03 10 21 25
03 11 14 19
03 11 15 25
03 12 13 26
03 12 14 15
03 12 16 18
03 12 20 23
03 13 19 25
03 13 21 22
03 15 17 18
03 16 17 20
03 18 20 24
03 19 21 26
03 20 22 25
03 23 24 26
04 05 09 18
04 05 12 14
04 05 12 26
04 05 15 20
04 05 15 24
04 05 17 22
04 05 19 25
04 06 08 17
04 06 09 23
04 06 10 19
04 06 11 13
04 06 12 22
04 06 18 21
04 07 08 25
04 07 09 23
04 07 10 16
04 07 13 19
04 07 17 20
04 07 18 19
04 07 18 26
04 08 09 15
04 08 11 13
04 08 12 23
04 08 14 21
04 09 13 14
04 09 13 25
04 09 19 21
04 10 11 20
04 10 15 22
04 10 17 24
04 10 18 23
04 11 14 25
04 11 15 19
04 11 16 21
04 11 22 26
04 12 13 18
04 12 15 25
04 12 21 22
04 16 19 24
04 16 20 22
04 17 18 26
04 18 20 25
04 19 23 25
04 20 24 26
05 06 07 08
05 06 16 17
05 06 22 24
05 06 25 26
05 07 11 17
05 07 13 15
05 07 13 21
05 07 16 25
05 08 11 15
05 08 12 17
05 08 18 21
05 09 12 25
05 09 15 21
05 09 17 26
05 09 23 24
05 10 18 24
05 10 20 23
05 11 13 20
05 11 19 23
05 11 21 24
05 12 13 22
05 12 15 18
05 12 23 24
05 13 14 18
05 13 17 19
05 14 18 25
05 14 21 23
05 15 20 23
05 16 19 23
05 16 20 26
05 17 20 24
05 18 20 22
05 19 22 26
06 07 09 24
06 07 10 23
06 07 11 12
06 07 12 17
06 07 16 26
06 08 09 22
06 08 12 26
06 08 15 16
06 08 17 20
06 08 23 24
06 09 10 26
06 09 12 20
06 09 13 18
06 10 11 14
06 10 16 25
06 10 22 26
06 11 12 24
06 11 18 22
06 12 13 21
06 12 16 23
06 12 19 20
06 13 14 19
06 13 15 17
06 13 20 22
06 14 15 26
06 14 17 22
06 14 20 21
06 15 19 23
06 17 21 22
06 18 19 26
06 21 24 25
07 08 10 11
07 08 11 26
07 08 12 21
07 08 13 17
07 08 15 17
07 08 16 23
07 08 17 18
07 09 11 22
07 09 18 21
07 09 19 20
07 10 14 19
07 10 15 26
07 10 21 22
07 11 23 24
07 12 15 22
07 12 18 25
07 12 20 24
07 12 25 26
07 13 18 20
07 13 22 23
07 14 17 18
07 14 22 24
07 17 19 25
07 17 21 24
07 20 21 25
08 09 14 20
08 09 16 18
08 09 21 23
08 10 14 17
08 10 16 22
08 10 19 24
08 10 21 26
08 11 16 19
08 11 19 25
08 11 20 22
08 12 13 15
08 13 14 25
08 13 24 26
08 14 19 26
08 14 22 23
08 15 20 25
08 16 21 24
08 18 23 25
09 10 11 12
09 10 14 16
09 10 17 25
09 10 19 22
09 10 24 26
09 11 12 23
09 11 17 24
09 11 18 26
09 12 15 16
09 12 22 24
09 13 15 20
09 13 16 17
09 13 19 26
09 13 20 23
09 14 15 25
09 14 21 26
09 16 25 26
10 11 13 16
10 11 17 21
10 11 25 26
10 12 14 26
10 12 15 24
10 12 17 22
10 12 18 20
10 13 22 25
10 13 23 26
10 15 20 21
10 15 21 23
11 12 14 20
11 12 17 19
11 13 14 26
11 13 17 26
11 13 18 25
11 13 19 24
11 13 21 25
11 15 22 25
11 16 18 23
11 16 20 25
11 19 24 26
12 13 24 25
12 14 18 24
12 14 23 25
12 15 23 26
12 16 17 26
12 16 19 21
12 18 19 23
12 22 23 25
13 14 15 16
13 14 17 20
13 15 18 19
13 15 23 25
13 16 20 24
13 17 18 23
13 18 20 21
14 15 17 19
14 15 18 23
14 15 21 24
14 16 18 22
14 16 23 24
14 19 20 22
14 19 20 25
14 24 25 26
15 16 17 23
15 16 18 24
15 16 22 26
15 18 21 26
15 19 20 24
16 18 20 26
16 21 22 25
17 18 19 20
17 19 21 23
17 20 22 26
17 22 24 25
18 19 21 25
20 21 23 26
21 22 23 24
