01 02 03 04
01 02 03 12
01 02 04 16
01 02 05 06
01 02 06 13
01 02 09 10
01 02 09 15
01 03 07 08
01 03 13 15
01 03 14 15
01 04 05 14
01 04 06 15
01 04 10 11
01 04 11 12
01 05 06 09
01 05 09 13
01 05 10 12
01 06 07 09
01 06 10 14
01 07 08 15
01 07 11 15
01 07 13 14
01 08 12 16
01 09 11 16
02 03 05 16
02 03 11 13
02 04 05 12
02 04 07 14
02 04 09 11
02 05 10 15
02 06 07 10
02 06 09 16
02 06 13 14
02 07 08 09
02 07 12 13
02 08 11 14
02 08 12 15
02 11 12 16
03 04 05 09
03 04 07 08
03 04 07 13
03 04 11 15
03 05 08 14
03 05 11 16
03 06 08 11
03 06 10 16
03 06 12 15
03 07 09 14
03 07 12 15
03 08 10 13
03 09 12 16
03 10 12 14
04 05 12 14
04 06 08 10
04 06 11 13
04 06 14 16
04 07 10 16
04 08 09 15
04 08 13 16
04 10 13 15
04 11 12 15
05 06 07 08
05 06 12 13
05 07 10 11
05 07 15 16
05 08 09 14
05 08 11 13
05 09 10 15
06 07 09 12
06 09 13 15
06 11 14 15
07 08 12 14
07 09 10 14
07 11 13 16
08 10 15 16
09 10 11 12
09 12 13 14
10 13 14 16
13 14 15 16
