01 02 03 04
01 02 07 27
01 02 08 22
01 02 10 26
01 02 11 23
01 02 14 21
01 02 17 18
01 02 17 20
01 02 20 24
01 03 05 17
01 03 05 20
01 03 07 23
01 03 09 24
01 03 11 22
01 03 14 26
01 04 05 24
01 04 06 08
01 04 08 25
01 04 09 20
01 04 13 15
01 04 16 19
01 04 17 18
01 05 06 26
01 05 07 12
01 05 09 13
01 05 10 12
01 05 10 13
01 05 14 18
01 05 16 21
01 05 19 20
01 06 09 18
01 06 10 14
01 06 12 26
01 06 13 17
01 06 13 20
01 06 23 24
01 07 09 20
01 07 10 27
01 07 11 15
01 07 12 19
01 07 14 22
01 07 16 25
01 08 10 17
01 08 11 18
01 08 12 16
01 08 14 27
01 08 15 19
01 09 11 24
01 09 12 15
01 09 12 17
01 10 13 24
01 10 16 20
01 10 18 21
01 10 19 22
01 10 20 26
01 10 21 22
01 11 12 21
01 11 13 14
01 11 19 25
01 12 15 23
01 12 21 24
01 12 25 27
01 13 16 18
01 13 21 26
01 14 23 25
01 15 20 27
01 15 21 24
01 15 24 25
01 16 17 26
01 16 18 19
01 16 22 27
01 16 23 26
01 17 21 25
01 18 22 26
01 19 23 27
01 20 22 25
01 20 24 27
02 03 04 07
02 03 05 10
02 03 08 20
02 03 11 17
02 03 14 24
02 03 16 23
02 03 21 22
02 04 05 17
02 04 10 20
02 04 11 16
02 04 14 22
02 04 23 24
02 05 06 18
02 05 07 25
02 05 09 24
02 05 10 15
02 05 11 27
02 05 20 22
02 06 09 16
02 06 10 23
02 06 12 23
02 06 13 26
02 06 14 19
02 06 15 25
02 06 18 22
02 07 10 22
02 07 11 21
02 07 12 13
02 07 16 17
02 07 18 20
02 08 10 25
02 08 11 14
02 08 12 27
02 08 14 16
02 08 21 24
02 08 23 26
02 09 13 18
02 09 15 19
02 09 21 27
02 09 22 23
02 09 25 26
02 10 14 27
02 12 16 26
02 12 18 19
02 12 21 25
02 13 15 17
02 13 16 19
02 13 21 25
02 14 20 25
02 15 16 27
02 15 18 26
02 17 22 27
02 17 25 27
02 18 23 25
02 19 21 26
02 19 26 27
02 22 24 25
03 04 05 18
03 04 07 19
03 04 09 26
03 04 12 13
03 04 15 24
03 04 16 17
03 04 16 20
03 04 21 26
03 04 23 27
03 05 06 25
03 05 08 21
03 05 11 16
03 05 15 22
03 05 24 26
03 06 08 19
03 06 09 21
03 06 10 21
03 06 12 15
03 06 13 27
03 06 15 20
03 06 16 26
03 06 19 24
03 07 09 14
03 07 11 25
03 07 12 22
03 07 17 24
03 07 26 27
03 08 09 23
03 08 10 13
03 08 11 27
03 08 15 16
03 09 12 18
03 09 12 19
03 09 16 21
03 09 17 27
03 10 11 19
03 10 12 24
03 10 15 18
03 10 18 25
03 10 20 22
03 11 13 15
03 11 23 24
03 12 14 17
03 12 14 23
03 12 15 26
03 13 18 22
03 13 19 21
03 13 20 25
03 14 16 27
03 14 18 26
03 15 21 25
03 17 23 26
03 18 21 27
03 19 22 25
04 05 07 22
04 05 07 23
04 05 08 25
04 05 10 14
04 05 12 14
04 05 18 19
04 06 07 27
04 06 11 13
04 06 12 21
04 06 14 20
04 06 15 22
04 06 22 23
04 07 08 22
04 07 10 16
04 07 12 24
04 07 15 21
04 07 17 26
04 08 09 15
04 08 13 14
04 08 18 22
04 08 19 23
04 08 21 27
04 08 24 26
04 09 10 17
04 09 11 27
04 09 12 22
04 09 21 24
04 10 11 26
04 10 13 23
04 10 22 25
04 11 12 18
04 11 13 20
04 11 14 17
04 12 15 20
04 12 17 27
04 13 25 27
04 14 16 25
04 14 18 22
04 15 16 21
04 15 19 27
04 15 23 26
04 17 19 25
04 18 21 23
04 18 26 27
04 20 21 22
04 20 24 25
05 06 07 08
