01 02 03 04
01 02 05 19
01 02 06 12
01 02 07 27
01 02 08 18
01 02 09 22
01 02 13 21
01 02 23 26
01 02 29 30
01 03 07 10
01 03 08 29
01 03 09 20
01 03 12 20
01 03 13 22
01 03 14 16
01 03 15 23
01 03 16 30
01 03 19 30
01 04 05 30
01 04 06 09
01 04 06 14
01 04 07 17
01 04 12 25
01 04 13 19
01 04 14 29
01 04 20 22
01 04 21 24
01 05 06 11
01 05 06 24
01 05 07 13
01 05 08 26
01 05 09 13
01 05 10 25
01 05 10 27
01 05 18 21
01 05 22 29
01 06 08 23
01 06 10 14
01 06 10 22
01 06 15 21
01 06 18 20
01 06 20 30
01 06 26 29
01 07 08 28
01 07 09 18
01 07 10 19
01 07 11 15
01 07 12 21
01 07 18 25
01 07 24 25
01 08 10 24
01 08 11 17
01 08 12 16
01 08 13 20
01 08 22 27
01 09 12 26
01 09 15 25
01 09 16 27
01 09 19 20
01 09 21 30
01 10 14 23
01 10 20 27
01 10 23 28
01 11 12 18
01 11 13 28
01 11 14 21
01 11 16 17
01 11 16 24
01 11 19 25
01 12 14 16
01 12 15 17
01 12 18 19
01 12 21 29
01 12 25 26
01 13 15 18
01 13 17 27
01 13 18 30
01 13 20 23
01 14 15 19
01 14 19 28
01 14 22 30
01 14 23 24
01 15 16 26
01 15 27 28
01 16 19 20
01 16 23 29
01 16 25 28
01 17 21 25
01 17 22 23
01 17 24 29
01 17 26 28
01 18 22 26
01 19 23 27
01 20 23 25
01 20 24 28
01 24 26 27
02 03 06 16
02 03 08 25
02 03 11 27
02 03 12 24
02 03 13 18
02 03 13 19
02 03 15 28
02 03 17 29
02 03 22 23
02 03 22 30
02 04 06 22
02 04 08 12
02 04 13 23
02 04 13 28
02 04 15 24
02 04 16 17
02 04 19 30
02 04 20 29
02 05 06 15
02 05 07 11
02 05 07 21
02 05 09 19
02 05 10 15
02 05 12 20
02 05 14 25
02 05 17 23
02 05 19 24
02 05 26 29
02 06 07 19
02 06 09 16
02 06 11 23
02 06 13 17
02 06 29 30
02 07 10 25
02 07 12 13
02 07 15 20
02 07 15 27
02 07 16 28
02 08 09 28
02 08 09 30
02 08 11 14
02 08 19 27
02 08 21 26
02 09 10 14
02 09 13 27
02 09 15 17
02 09 21 23
02 10 11 17
02 10 12 14
02 10 15 21
02 10 16 27
02 10 18 20
02 10 25 28
02 11 12 15
02 11 12 16
02 11 18 26
02 11 20 21
02 12 14 17
02 12 19 21
02 12 27 30
02 13 16 22
02 13 24 30
02 14 17 20
02 14 21 26
02 14 24 28
02 15 18 30
02 15 22 25
02 16 18 23
02 16 18 29
02 17 18 30
02 17 22 27
02 18 21 28
02 18 23 24
02 19 22 26
02 19 24 25
02 20 23 26
02 20 25 29
02 21 25 27
02 22 24 29
02 23 28 29
02 25 26 30
03 04 05 22
03 04 06 28
03 04 07 17
03 04 08 19
03 04 10 21
03 04 12 23
03 04 13 15
03 04 15 21
03 04 29 30
03 05 08 17
03 05 10 24
03 05 11 16
03 05 12 27
03 05 14 17
03 05 18 26
