01 02 03 04
01 02 06 12
01 02 07 18
01 02 08 20
01 02 08 28
01 02 11 26
01 02 11 27
01 02 13 14
01 02 16 22
01 02 17 23
01 03 05 11
01 03 05 18
01 03 06 16
01 03 07 20
01 03 09 22
01 03 15 19
01 03 23 26
01 03 25 28
01 04 06 26
01 04 08 11
01 04 09 25
01 04 10 19
01 04 11 16
01 04 14 17
01 04 15 22
01 05 08 12
01 05 09 13
01 05 10 20
01 05 16 20
01 05 20 21
01 05 23 28
01 05 24 25
01 06 07 13
01 06 08 27
01 06 10 14
01 06 11 20
01 06 13 17
01 06 15 16
01 06 17 22
01 06 18 20
01 07 08 10
01 07 08 15
01 07 09 26
01 07 10 22
01 07 11 15
01 07 12 20
01 07 13 22
01 07 22 24
01 08 12 16
01 08 13 20
01 08 14 19
01 08 17 26
01 09 14 15
01 09 17 24
01 09 18 23
01 09 19 20
01 10 13 17
01 10 13 25
01 10 21 24
01 11 12 22
01 11 18 28
01 12 14 15
01 12 15 27
01 12 16 28
01 12 17 19
01 13 14 24
01 13 15 19
01 13 18 25
01 13 21 27
01 13 22 23
01 14 15 26
01 14 17 27
01 14 20 25
01 14 21 23
01 16 18 24
01 16 19 25
01 16 22 24
01 17 21 25
01 17 23 25
01 18 19 22
01 18 22 26
01 18 27 28
01 19 20 26
01 19 21 28
01 19 23 27
01 20 24 28
01 23 24 25
02 03 07 28
02 03 08 14
02 03 12 22
02 03 15 24
02 03 19 23
02 03 21 25
02 03 26 27
02 04 05 27
02 04 08 26
02 04 11 22
02 04 12 13
02 04 15 20
02 04 17 18
02 04 17 21
02 04 23 24
02 05 10 15
02 05 14 20
02 05 16 23
02 05 19 25
02 05 24 26
02 06 07 17
02 06 08 12
02 06 08 25
02 06 09 16
02 06 10 20
02 06 11 18
02 06 13 21
02 06 14 18
02 06 19 28
02 07 09 11
02 07 12 13
02 07 14 16
02 07 21 27
02 07 22 28
02 08 09 10
02 08 11 14
02 08 13 19
02 08 23 27
02 08 25 28
02 09 10 13
02 09 12 18
02 09 13 17
02 09 14 22
02 09 15 19
02 09 17 28
02 09 19 21
02 10 12 18
02 10 12 28
02 10 14 24
02 10 19 26
02 11 12 21
02 11 13 15
02 11 13 28
02 12 14 17
02 13 18 22
02 14 19 20
02 15 21 26
02 15 23 25
02 16 17 24
02 16 17 25
02 16 18 27
02 16 20 24
02 17 22 27
02 18 21 28
02 19 24 25
02 20 23 26
02 20 25 27
03 04 06 18
03 04 07 21
03 04 10 11
03 04 13 19
03 04 15 27
03 04 19 25
03 04 22 26
03 04 24 25
03 05 06 22
03 05 07 27
03 05 09 28
03 05 11 16
03 05 13 20
03 05 14 23
03 05 17 20
03 06 07 27
03 06 09 25
03 06 11 24
03 06 12 15
03 06 14 26
03 06 21 28
03 06 24 28
03 07 08 16
03 07 09 14
03 07 10 25
03 07 12 27
03 07 13 23
03 08 10 13
03 08 12 25
03 08 18 19
03 08 20 23
03 08 21 24
03 09 10 20
03 09 15 17
03 09 23 27
03 09 25 26
03 10 12 19
03 10 14 25
03 10 16 18
03 10 17 27
03 11 13 27
03 11 14 15
03 11 17 18
03 11 20 28
03 12 13 16
03 12 14 21
03 12 19 20
03 12 24 26
03 13 21 22
03 14 16 17
03 14 18 20
03 16 23 27
03 17 23 28
03 18 22 28
03 18 24 27
03 19 21 26
03 19 22 24
03 20 22 25
04 05 06 21
04 05 07 24
04 05 08 17
04 05 10 26
04 05 12 14
04 05 16 25
04 05 18 19
04 06 07 23
04 06 08 28
04 06 11 13
04 06 14 25
04 06 17 20
04 06 18 28
04 07 08 19
04 07 10 16
04 07 13 25
04 07 15 28
04 07 17 27
04 08 09 15
04 08 14 27
04 08 16 24
04 09 10 27
04 09 11 25
04 09 12 21
04 09 16 19
04 09 20 22
04 10 12 17
04 10 13 22
04 10 15 26
04 10 19 24
04 10 25 28
04 11 13 20
04 11 14 26
04 11 15 19
04 11 17 23
04 12 18 21
04 12 21 25
04 12 23 28
04 12 24 27
04 13 16 28
04 13 21 23
04 13 26 27
04 14 18 24
04 14 20 23
04 14 21 28
04 16 18 22
04 16 20 26
04 17 24 26
04 18 23 25
04 19 22 28
04 20 21 27
05 06 07 08
05 06 10 11
05 06 16 21
05 06 17 18
05 06 19 26
05 06 20 28
05 07 10 14
05 07 16 17
05 07 19 20
05 08 10 24
05 08 11 13
05 08 15 26
05 08 16 18
05 08 21 22
05 09 12 25
05 09 14 16
05 09 15 20
05 09 19 22
05 09 21 27
05 09 23 24
05 10 16 27
05 10 17 21
05 10 18 19
05 11 12 28
05 11 13 21
05 11 17 19
05 11 18 20
05 11 18 23
05 12 13 23
05 12 21 26
05 12 22 27
05 13 15 18
05 13 24 28
05 14 22 24
05 14 22 25
05 15 17 23
05 15 20 25
05 15 21 25
05 16 21 24
05 16 22 23
05 19 21 27
05 22 26 28
05 25 26 27
06 07 12 26
06 07 18 21
06 07 19 24
06 07 25 28
06 08 11 16
06 08 13 18
06 08 17 21
06 08 19 21
06 08 19 23
06 08 22 26
06 09 10 18
06 09 11 28
06 09 13 25
06 09 20 21
06 09 20 24
06 10 15 22
06 10 15 25
06 10 16 23
06 10 22 24
06 11 14 15
06 11 23 25
06 12 16 24
06 12 19 22
06 12 26 27
06 13 14 27
06 14 17 19
06 14 23 28
06 15 19 27
06 15 23 24
06 16 20 22
06 16 24 27
06 17 21 26
06 17 21 27
06 18 25 26
06 22 23 27
07 08 11 12
07 08 14 20
07 08 17 24
07 08 23 25
07 09 10 28
07 09 12 24
07 09 15 20
07 09 18 22
07 09 25 27
07 10 13 27
07 10 20 24
07 10 21 23
07 11 16 23
07 11 18 25
07 11 19 23
07 11 22 26
07 11 25 26
07 12 15 22
07 12 18 28
07 13 16 24
07 13 17 26
07 13 20 21
07 14 15 19
07 14 17 22
07 14 17 28
07 14 24 25
07 15 18 26
07 16 21 27
07 17 19 21
07 18 20 27
07 20 23 27
07 21 26 28
07 23 26 27
08 09 11 16
08 09 12 13
08 09 12 14
08 09 16 21
08 09 18 24
08 09 26 28
08 10 15 21
08 10 16 17
08 10 18 20
08 10 22 23
08 11 21 26
08 11 22 24
08 12 20 27
08 12 22 26
08 13 15 23
08 13 23 28
08 13 25 27
08 14 18 21
08 14 22 28
08 14 23 24
08 15 16 25
08 15 17 20
08 15 17 27
08 15 17 28
08 15 18 22
08 17 22 25
08 18 21 26
08 19 20 25
08 19 27 28
08 20 22 27
09 10 11 12
09 10 16 24
09 10 17 19
09 11 14 19
09 11 21 22
09 11 23 26
09 12 17 23
09 12 24 28
09 13 14 19
09 13 18 21
09 13 24 27
09 14 17 26
09 15 18 25
09 15 22 26
09 16 20 27
09 16 27 28
09 18 19 26
09 20 21 28
09 21 25 26
09 23 25 28
10 11 14 16
10 11 17 23
10 11 18 25
10 11 19 20
10 11 27 28
10 12 13 26
10 12 14 20
10 12 21 23
10 13 19 28
10 13 23 24
10 14 21 22
10 14 23 25
10 14 25 26
10 15 17 18
10 15 19 28
10 15 20 23
10 16 21 26
10 17 26 28
10 18 26 27
10 22 24 25
11 12 15 26
11 12 17 20
11 12 20 23
11 13 14 25
11 13 18 19
11 14 18 27
11 14 21 24
11 15 22 23
11 15 24 27
11 16 17 27
11 16 18 19
11 19 24 26
11 21 23 28
11 24 25 28
12 13 20 24
12 13 21 28
12 14 18 23
