01 02 03 04 05
01 02 03 04 11
01 02 03 04 16
01 02 03 12 17
01 02 03 13 15
01 02 03 19 20
01 02 04 06 18
01 02 04 08 20
01 02 04 09 18
01 02 04 15 20
01 02 05 07 16
01 02 05 08 13
01 02 05 08 16
01 02 05 14 18
01 02 06 07 11
01 02 06 13 19
01 02 06 14 17
01 02 07 08 17
01 02 07 13 17
01 02 07 15 18
01 02 08 09 12
01 02 08 09 15
01 02 08 10 11
01 02 09 10 20
01 02 09 11 15
01 02 09 13 15
01 02 10 12 17
01 02 10 13 14
01 02 11 12 20
01 02 11 14 17
01 02 12 14 19
01 02 15 16 17
01 02 18 19 20
01 03 04 05 14
01 03 04 07 10
01 03 04 07 15
01 03 05 06 08
01 03 05 13 19
01 03 05 15 18
01 03 06 07 18
01 03 06 07 20
01 03 06 08 13
01 03 07 09 14
01 03 07 11 17
01 03 08 09 13
01 03 08 18 19
01 03 09 10 17
01 03 09 11 20
01 03 09 12 16
01 03 10 11 12
01 03 10 12 18
01 03 10 14 19
01 03 11 14 16
01 03 11 16 19
01 03 13 16 20
01 04 05 09 13
01 04 05 11 12
01 04 06 09 15
01 04 06 14 18
01 04 06 17 19
01 04 07 08 16
01 04 07 14 17
01 04 07 18 19
01 04 07 18 20
01 04 08 13 18
01 04 09 10 19
01 04 10 17 18
01 04 11 13 19
01 04 11 15 16
01 04 12 13 15
01 04 12 14 20
01 04 14 15 16
01 04 15 16 17
01 05 06 09 20
01 05 06 10 13
01 05 06 10 16
01 05 06 15 17
01 05 07 08 10
01 05 07 12 13
01 05 07 14 19
01 05 07 17 20
01 05 08 10 15
01 05 08 11 14
01 05 09 11 19
01 05 09 17 19
01 05 13 15 16
01 05 14 16 19
01 05 14 18 20
01 05 16 17 19
01 06 07 08 11
01 06 07 08 14
01 06 07 09 13
01 06 08 18 20
01 06 09 11 19
01 06 10 11 20
01 06 10 14 15
01 06 11 15 18
01 06 12 14 19
01 06 12 16 17
01 06 13 16 20
01 07 08 09 17
01 07 08 12 19
01 07 08 14 16
01 07 09 12 13
01 07 09 13 20
01 07 10 11 14
01 07 10 15 16
01 07 10 15 19
01 07 11 16 20
01 07 12 16 18
01 07 13 15 20
01 08 09 14 15
01 08 09 15 19
01 08 09 16 19
01 08 10 13 16
01 08 10 14 17
01 08 10 15 20
01 08 12 13 14
01 08 12 14 15
01 08 14 15 19
01 08 14 17 20
01 08 15 17 18
01 09 10 12 18
01 09 10 13 18
01 09 11 13 14
01 09 11 16 18
01 09 12 17 18
01 09 14 15 19
01 10 12 13 20
01 10 13 16 19
01 11 12 13 18
01 11 13 17 19
01 11 15 17 20
01 12 13 16 19
01 12 15 19 20
01 13 14 17 18
02 03 04 06 10
02 03 04 09 19
02 03 05 06 10
02 03 05 06 19
02 03 05 07 15
02 03 05 16 17
02 03 06 09 16
02 03 06 10 11
02 03 06 12 18
02 03 07 08 15
02 03 07 10 12
02 03 07 14 18
02 03 08 13 14
02 03 09 10 11
02 03 09 13 15
02 03 10 17 19
02 03 11 12 20
02 03 11 13 18
02 03 14 15 20
02 04 05 11 17
02 04 05 15 16
02 04 06 07 12
02 04 06 08 13
02 04 06 08 14
02 04 06 08 16
02 04 06 11 19
02 04 07 08 10
02 04 07 09 13
02 04 07 11 16
02 04 07 16 18
02 04 07 17 19
02 04 08 09 10
02 04 09 17 20
02 04 10 11 15
02 04 10 12 15
02 04 10 13 17
02 04 11 12 14
02 04 12 13 20
02 04 12 16 18
02 04 14 17 19
02 05 06 07 14
02 05 06 12 15
02 05 06 18 19
02 05 07 10 18
02 05 08 11 18
02 05 08 12 19
02 05 08 13 16
02 05 09 11 20
02 05 09 12 20
02 05 09 15 19
02 05 10 14 17
02 05 10 19 20
02 05 11 13 14
02 05 12 14 18
02 05 13 17 20
02 06 07 08 20
02 06 08 15 17
02 06 09 10 12
02 06 09 10 19
02 06 09 13 14
02 06 10 16 18
02 06 11 15 20
02 06 11 17 18
02 06 13 17 20
02 06 14 16 20
02 07 09 11 19
02 07 09 14 16
02 07 10 15 20
02 07 11 12 18
02 07 12 14 17
02 07 13 15 18
02 07 13 16 19
02 07 14 16 20
02 08 09 14 20
02 08 09 17 18
02 08 10 14 16
02 08 10 16 20
02 08 11 12 17
02 08 13 15 19
02 08 15 18 20
02 09 10 13 17
02 09 13 16 18
02 09 14 15 18
02 10 13 17 20
02 10 13 18 19
02 10 14 18 20
02 11 12 13 16
02 11 14 16 19
02 11 15 16 18
02 11 15 17 18
02 12 13 15 16
02 12 15 16 19
03 04 05 08 09
03 04 05 14 16
03 04 05 14 19
03 04 06 07 12
03 04 06 10 20
03 04 06 11 13
03 04 07 11 16
03 04 07 13 20
03 04 08 09 11
03 04 08 12 18
03 04 08 16 20
03 04 08 17 20
03 04 09 18 20
03 04 10 12 19
03 04 10 13 16
03 04 12 15 18
03 04 13 17 18
03 04 14 15 17
03 04 15 17 19
03 05 06 11 13
03 05 06 11 17
03 05 06 17 20
03 05 07 08 17
03 05 07 11 18
03 05 07 16 19
03 05 08 10 20
03 05 08 12 20
03 05 09 12 18
03 05 09 13 14
03 05 09 16 19
03 05 10 11 17
03 05 10 15 20
03 05 12 13 15
03 05 13 18 20
03 06 07 09 15
03 06 07 12 13
03 06 07 14 15
03 06 07 16 17
03 06 08 09 12
03 06 08 11 19
03 06 09 15 17
03 06 10 14 18
03 06 10 15 16
03 06 11 14 15
03 06 11 14 18
03 06 12 14 15
03 06 15 19 20
03 06 16 18 19
03 07 08 10 13
03 07 09 13 17
03 07 09 19 20
03 07 10 13 14
03 07 10 13 19
03 07 11 15 16
03 07 12 14 20
03 07 17 18 20
03 08 09 14 17
03 08 09 16 18
03 08 10 15 18
03 08 11 12 16
03 08 11 13 15
03 08 12 14 16
03 08 15 16 19
03 08 16 17 18
03 09 10 15 16
03 09 11 15 19
03 09 12 13 14
03 10 11 14 17
03 10 16 18 20
03 11 12 15 20
03 11 14 19 20
03 12 13 17 19
03 12 16 18 20
03 14 15 18 19
04 05 06 07 10
04 05 06 08 09
04 05 06 09 12
04 05 06 13 18
04 05 06 14 20
04 05 06 15 17
04 05 07 15 20
04 05 07 16 17
04 05 08 12 17
04 05 08 13 19
04 05 09 10 14
04 05 09 10 18
04 05 10 11 20
04 05 11 15 19
04 05 15 19 20
04 05 16 18 20
04 06 07 10 17
04 06 07 12 14
04 06 08 10 12
04 06 08 15 16
04 06 09 14 16
04 06 09 17 18
04 06 10 19 20
04 06 11 16 20
04 06 12 13 19
04 06 12 15 18
04 07 08 09 19
04 07 08 10 18
04 07 08 11 12
04 07 08 14 19
04 07 09 11 12
04 07 10 16 20
04 07 11 14 18
04 07 12 14 15
04 07 12 15 17
04 07 13 14 15
04 08 09 12 15
04 08 10 13 14
04 08 11 16 17
04 08 15 18 19
04 09 10 11 15
04 09 11 12 17
04 09 12 13 20
04 09 13 16 17
