01 02 03 04
01 02 05 07
01 02 05 08
01 02 05 09
01 02 05 10
01 02 06 07
01 03 06 10
02 03 06 10
03 04 05 06
03 05 06 07
03 07 08 09
04 06 08 09
04 07 08 10
04 07 09 10
05 08 09 10
01 02 03 11
01 02 04 11
01 02 05 11
03 04 05 11
06 07 08 11
06 08 09 11
06 08 10 11
07 09 10 11
01 02 03 12
01 02 04 12
01 02 05 12
03 04 05 12
06 07 08 12
06 07 09 12
06 10 11 12
07 10 11 12
08 09 10 12
08 09 11 12
01 02 03 13
01 03 07 13
01 03 08 13
02 07 08 13
04 05 06 13
04 09 10 13
04 11 12 13
05 09 11 13
05 10 12 13
06 09 12 13
06 10 11 13
01 02 03 14
01 03 07 14
01 03 08 14
02 07 08 14
04 05 06 14
04 09 10 14
04 11 12 14
05 09 11 14
05 10 12 14
06 09 12 14
06 10 11 14
01 02 13 14
03 04 13 14
05 06 13 14
07 08 13 14
09 10 13 14
11 12 13 14
01 02 03 15
01 03 07 15
01 03 08 15
02 07 08 15
04 05 06 15
04 09 10 15
04 11 12 15
05 09 11 15
05 10 12 15
06 09 12 15
06 10 11 15
01 02 13 15
03 04 13 15
05 06 13 15
07 08 13 15
09 10 13 15
11 12 13 15
01 02 14 15
03 04 14 15
05 06 14 15
07 08 14 15
09 10 14 15
11 12 14 15
01 13 14 15
01 02 03 16
01 03 07 16
01 03 08 16
02 07 08 16
04 05 06 16
04 09 10 16
04 11 12 16
05 09 11 16
05 10 12 16
06 09 12 16
06 10 11 16
01 02 13 16
03 04 13 16
05 06 13 16
07 08 13 16
09 10 13 16
11 12 13 16
01 02 14 16
03 04 14 16
05 06 14 16
07 08 14 16
09 10 14 16
11 12 14 16
01 13 14 16
01 02 15 16
03 04 15 16
05 06 15 16
07 08 15 16
09 10 15 16
11 12 15 16
13 14 15 16
01 02 03 17
01 03 07 17
01 03 08 17
02 07 08 17
04 05 06 17
04 09 10 17
04 11 12 17
05 09 11 17
05 10 12 17
06 09 12 17
06 10 11 17
01 02 13 17
03 04 13 17
05 06 13 17
07 08 13 17
09 10 13 17
11 12 13 17
01 02 14 17
03 04 14 17
05 06 14 17
07 08 14 17
09 10 14 17
11 12 14 17
01 13 14 17
01 02 15 17
03 04 15 17
05 06 15 17
07 08 15 17
09 10 15 17
11 12 15 17
13 14 15 17
01 02 16 17
03 04 16 17
05 06 16 17
07 08 16 17
09 10 16 17
11 12 16 17
13 14 16 17
01 15 16 17
01 02 03 18
01 03 07 18
01 03 08 18
02 07 08 18
04 05 06 18
04 09 10 18
04 11 12 18
05 09 11 18
05 10 12 18
06 09 12 18
06 10 11 18
01 02 13 18
03 04 13 18
05 06 13 18
07 08 13 18
09 10 13 18
11 12 13 18
01 02 14 18
03 04 14 18
05 06 14 18
07 08 14 18
09 10 14 18
11 12 14 18
01 13 14 18
01 02 15 18
03 04 15 18
05 06 15 18
07 08 15 18
09 10 15 18
11 12 15 18
13 14 15 18
01 02 16 18
03 04 16 18
05 06 16 18
07 08 16 18
09 10 16 18
11 12 16 18
13 14 16 18
01 15 16 18
01 02 17 18
03 04 17 18
05 06 17 18
07 08 17 18
09 10 17 18
11 12 17 18
13 14 17 18
15 16 17 18
01 02 03 19
01 03 07 19
01 03 08 19
02 07 08 19
04 05 06 19
04 09 10 19
04 11 12 19
05 09 11 19
05 10 12 19
06 09 12 19
06 10 11 19
01 02 13 19
03 04 13 19
05 06 13 19
07 08 13 19
09 10 13 19
11 12 13 19
01 02 14 19
03 04 14 19
05 06 14 19
07 08 14 19
09 10 14 19
11 12 14 19
01 13 14 19
01 02 15 19
03 04 15 19
05 06 15 19
07 08 15 19
09 10 15 19
11 12 15 19
13 14 15 19
01 02 16 19
03 04 16 19
05 06 16 19
07 08 16 19
09 10 16 19
11 12 16 19
13 14 16 19
01 15 16 19
01 02 17 19
03 04 17 19
05 06 17 19
07 08 17 19
09 10 17 19
11 12 17 19
13 14 17 19
15 16 17 19
01 02 18 19
03 04 18 19
05 06 18 19
07 08 18 19
09 10 18 19
11 12 18 19
13 14 18 19
15 16 18 19
01 17 18 19
01 02 03 20
01 03 07 20
01 03 08 20
02 07 08 20
04 05 06 20
04 09 10 20
04 11 12 20
05 09 11 20
05 10 12 20
06 09 12 20
06 10 11 20
01 02 13 20
03 04 13 20
05 06 13 20
07 08 13 20
09 10 13 20
11 12 13 20
01 02 14 20
03 04 14 20
05 06 14 20
07 08 14 20
09 10 14 20
11 12 14 20
01 13 14 20
01 02 15 20
03 04 15 20
05 06 15 20
07 08 15 20
09 10 15 20
11 12 15 20
13 14 15 20
01 02 16 20
03 04 16 20
05 06 16 20
07 08 16 20
09 10 16 20
11 12 16 20
13 14 16 20
01 15 16 20
01 02 17 20
03 04 17 20
05 06 17 20
07 08 17 20
09 10 17 20
11 12 17 20
13 14 17 20
15 16 17 20
01 02 18 20
03 04 18 20
05 06 18 20
07 08 18 20
09 10 18 20
11 12 18 20
13 14 18 20
15 16 18 20
01 17 18 20
01 02 19 20
03 04 19 20
05 06 19 20
07 08 19 20
09 10 19 20
11 12 19 20
13 14 19 20
15 16 19 20
17 18 19 20
01 02 03 21
01 03 07 21
01 03 08 21
02 07 08 21
04 05 06 21
04 09 10 21
04 11 12 21
05 09 11 21
05 10 12 21
06 09 12 21
06 10 11 21
01 02 13 21
03 04 13 21
05 06 13 21
07 08 13 21
09 10 13 21
11 12 13 21
01 02 14 21
03 04 14 21
05 06 14 21
07 08 14 21
09 10 14 21
11 12 14 21
01 13 14 21
01 02 15 21
03 04 15 21
05 06 15 21
07 08 15 21
09 10 15 21
11 12 15 21
13 14 15 21
01 02 16 21
03 04 16 21
05 06 16 21
07 08 16 21
09 10 16 21
11 12 16 21
13 14 16 21
01 15 16 21
01 02 17 21
03 04 17 21
05 06 17 21
07 08 17 21
09 10 17 21
11 12 17 21
13 14 17 21
15 16 17 21
01 02 18 21
03 04 18 21
05 06 18 21
07 08 18 21
09 10 18 21
11 12 18 21
13 14 18 21
15 16 18 21
01 17 18 21
01 02 19 21
03 04 19 21
05 06 19 21
07 08 19 21
09 10 19 21
11 12 19 21
13 14 19 21
15 16 19 21
17 18 19 21
01 02 20 21
03 04 20 21
05 06 20 21
07 08 20 21
09 10 20 21
11 12 20 21
13 14 20 21
15 16 20 21
17 18 20 21
01 19 20 21
01 02 03 22
01 03 07 22
01 03 08 22
02 07 08 22
04 05 06 22
04 09 10 22
04 11 12 22
05 09 11 22
05 10 12 22
06 09 12 22
06 10 11 22
01 02 13 22
03 04 13 22
05 06 13 22
07 08 13 22
09 10 13 22
11 12 13 22
01 02 14 22
03 04 14 22
05 06 14 22
07 08 14 22
09 10 14 22
11 12 14 22
01 13 14 22
01 02 15 22
03 04 15 22
05 06 15 22
07 08 15 22
09 10 15 22
11 12 15 22
13 14 15 22
01 02 16 22
03 04 16 22
05 06 16 22
07 08 16 22
09 10 16 22
11 12 16 22
13 14 16 22
01 15 16 22
01 02 17 22
03 04 17 22
05 06 17 22
07 08 17 22
09 10 17 22
11 12 17 22
13 14 17 22
15 16 17 22
01 02 18 22
03 04 18 22
05 06 18 22
07 08 18 22
09 10 18 22
11 12 18 22
13 14 18 22
15 16 18 22
01 17 18 22
01 02 19 22
03 04 19 22
05 06 19 22
07 08 19 22
09 10 19 22
11 12 19 22
13 14 19 22
15 16 19 22
17 18 19 22
01 02 20 22
03 04 20 22
05 06 20 22
07 08 20 22
09 10 20 22
11 12 20 22
13 14 20 22
15 16 20 22
17 18 20 22
01 19 20 22
01 02 21 22
03 04 21 22
05 06 21 22
07 08 21 22
09 10 21 22
11 12 21 22
13 14 21 22
15 16 21 22
17 18 21 22
19 20 21 22
01 02 03 23
01 03 07 23
01 03 08 23
02 07 08 23
04 05 06 23
04 09 10 23
04 11 12 23
05 09 11 23
05 10 12 23
06 09 12 23
06 10 11 23
01 02 13 23
03 04 13 23
05 06 13 23
07 08 13 23
09 10 13 23
11 12 13 23
01 02 14 23
03 04 14 23
05 06 14 23
07 08 14 23
09 10 14 23
11 12 14 23
01 13 14 23
01 02 15 23
03 04 15 23
05 06 15 23
07 08 15 23
09 10 15 23
11 12 15 23
13 14 15 23
01 02 16 23
03 04 16 23
05 06 16 23
07 08 16 23
09 10 16 23
11 12 16 23
13 14 16 23
01 15 16 23
01 02 17 23
03 04 17 23
05 06 17 23
07 08 17 23
09 10 17 23
11 12 17 23
13 14 17 23
15 16 17 23
01 02 18 23
03 04 18 23
05 06 18 23
07 08 18 23
09 10 18 23
11 12 18 23
13 14 18 23
15 16 18 23
01 17 18 23
01 02 19 23
03 04 19 23
05 06 19 23
07 08 19 23
09 10 19 23
11 12 19 23
13 14 19 23
15 16 19 23
17 18 19 23
01 02 20 23
03 04 20 23
05 06 20 23
07 08 20 23
09 10 20 23
11 12 20 23
13 14 20 23
15 16 20 23
17 18 20 23
01 19 20 23
01 02 21 23
03 04 21 23
05 06 21 23
07 08 21 23
09 10 21 23
11 12 21 23
13 14 21 23
15 16 21 23
17 18 21 23
19 20 21 23
01 02 22 23
03 04 22 23
05 06 22 23
07 08 22 23
09 10 22 23
11 12 22 23
13 14 22 23
15 16 22 23
17 18 22 23
19 20 22 23
01 21 22 23
01 02 03 24
01 03 07 24
01 03 08 24
02 07 08 24
04 05 06 24
04 09 10 24
04 11 12 24
05 09 11 24
05 10 12 24
06 09 12 24
06 10 11 24
01 02 13 24
03 04 13 24
05 06 13 24
07 08 13 24
09 10 13 24
11 12 13 24
01 02 14 24
03 04 14 24
05 06 14 24
07 08 14 24
09 10 14 24
11 12 14 24
01 13 14 24
01 02 15 24
03 04 15 24
05 06 15 24
07 08 15 24
09 10 15 24
11 12 15 24
13 14 15 24
01 02 16 24
03 04 16 24
05 06 16 24
07 08 16 24
09 10 16 24
11 12 16 24
13 14 16 24
01 15 16 24
01 02 17 24
03 04 17 24
05 06 17 24
07 08 17 24
09 10 17 24
11 12 17 24
13 14 17 24
15 16 17 24
01 02 18 24
03 04 18 24
05 06 18 24
07 08 18 24
09 10 18 24
11 12 18 24
13 14 18 24
15 16 18 24
01 17 18 24
01 02 19 24
03 04 19 24
05 06 19 24
07 08 19 24
09 10 19 24
11 12 19 24
13 14 19 24
15 16 19 24
17 18 19 24
01 02 20 24
03 04 20 24
05 06 20 24
07 08 20 24
09 10 20 24
11 12 20 24
13 14 20 24
15 16 20 24
17 18 20 24
01 19 20 24
01 02 21 24
03 04 21 24
05 06 21 24
07 08 21 24
09 10 21 24
11 12 21 24
13 14 21 24
15 16 21 24
17 18 21 24
19 20 21 24
01 02 22 24
03 04 22 24
05 06 22 24
07 08 22 24
09 10 22 24
11 12 22 24
13 14 22 24
15 16 22 24
17 18 22 24
19 20 22 24
01 21 22 24
01 02 23 24
03 04 23 24
05 06 23 24
07 08 23 24
09 10 23 24
11 12 23 24
13 14 23 24
15 16 23 24
17 18 23 24
19 20 23 24
21 22 23 24
01 02 03 25
01 03 07 25
01 03 08 25
02 07 08 25
04 05 06 25
04 09 10 25
04 11 12 25
05 09 11 25
05 10 12 25
06 09 12 25
06 10 11 25
01 02 13 25
03 04 13 25
05 06 13 25
07 08 13 25
09 10 13 25
11 12 13 25
01 02 14 25
03 04 14 25
05 06 14 25
07 08 14 25
09 10 14 25
11 12 14 25
01 13 14 25
01 02 15 25
03 04 15 25
05 06 15 25
07 08 15 25
09 10 15 25
11 12 15 25
13 14 15 25
01 02 16 25
03 04 16 25
05 06 16 25
07 08 16 25
09 10 16 25
11 12 16 25
13 14 16 25
01 15 16 25
01 02 17 25
03 04 17 25
05 06 17 25
07 08 17 25
09 10 17 25
11 12 17 25
13 14 17 25
15 16 17 25
01 02 18 25
03 04 18 25
05 06 18 25
