01 02 03 04
01 02 03 11
01 02 03 12
01 02 03 13
01 02 03 14
01 02 03 15
01 02 03 16
01 02 04 11
01 02 04 12
01 02 04 14
01 02 04 15
01 02 04 16
01 02 05 07
01 02 05 08
01 02 05 09
01 02 05 10
01 02 05 11
01 02 05 12
01 02 05 14
01 02 05 15
01 02 05 16
01 02 06 07
01 02 06 14
01 02 06 15
01 02 06 16
01 02 14 15
01 02 14 16
01 02 15 16
01 03 06 10
01 03 07 13
01 03 08 13
01 13 14 15
01 13 14 16
02 03 06 10
02 07 08 13
03 04 05 06
03 04 05 11
03 04 05 12
03 04 05 14
03 04 05 15
03 04 05 16
03 04 14 15
03 04 14 16
03 04 15 16
03 05 06 07
03 05 06 14
03 05 06 15
03 05 06 16
03 07 08 09
04 05 06 13
04 05 06 14
04 05 06 15
04 05 06 16
04 06 08 09
04 07 08 10
04 07 09 10
04 09 10 13
04 11 12 13
05 06 14 15
05 06 14 16
05 06 15 16
05 08 09 10
05 09 11 13
05 10 12 13
06 07 08 11
06 07 08 12
06 07 09 12
06 08 09 11
06 08 10 11
06 09 12 13
06 10 11 12
06 10 11 13
07 08 09 14
07 08 09 15
07 08 09 16
07 08 14 15
07 08 14 16
07 08 15 16
07 09 10 11
07 10 11 12
07 10 11 14
07 10 11 15
07 10 11 16
07 12 13 14
07 12 13 15
07 12 13 16
08 09 10 12
08 09 11 12
08 10 12 14
08 10 12 15
08 10 12 16
08 11 13 14
08 11 13 15
08 11 13 16
09 10 13 14
09 10 13 15
09 10 13 16
09 10 14 15
09 10 14 16
09 10 15 16
09 11 12 14
09 11 12 15
09 11 12 16
11 12 14 15
11 12 14 16
11 12 15 16
13 14 15 16
