01 02 03 04
01 02 05 07
01 02 05 08
01 02 05 09
01 02 05 10
01 02 06 07
01 03 06 10
02 03 06 10
03 04 05 06
03 05 06 07
03 07 08 09
04 06 08 09
04 07 08 10
04 07 09 10
05 08 09 10
01 02 03 11
01 02 04 11
01 02 05 11
03 04 05 11
06 07 08 11
06 08 09 11
06 08 10 11
07 09 10 11
01 02 03 12
01 02 04 12
01 02 05 12
03 04 05 12
06 07 08 12
06 07 09 12
06 10 11 12
07 10 11 12
08 09 10 12
08 09 11 12
01 02 03 13
01 03 07 13
01 03 08 13
02 07 08 13
04 05 06 13
04 09 10 13
04 11 12 13
05 09 11 13
05 10 12 13
06 09 12 13
06 10 11 13
01 02 03 14
01 03 07 14
01 03 08 14
02 07 08 14
04 05 06 14
04 09 10 14
04 11 12 14
05 09 11 14
05 10 12 14
06 09 12 14
06 10 11 14
01 02 13 14
03 04 13 14
05 06 13 14
07 08 13 14
09 10 13 14
11 12 13 14
